year_ceremony,female,black,asian,latin_american,non_white,white,male,total_nominees,female_winners,black_winners,asian_winners,latin_american_winners,non_white_winners,white_winners,male_winners,total_winners
1998,26.956521739130437,1.7391304347826089,1.7391304347826089,0.0,3.4782608695652177,96.5217391304348,73.04347826086958,100.00000000000001,3.4782608695652177,0.0,0.8695652173913044,0.0,0.8695652173913044,20.869565217391305,18.260869565217394,21.73913043478261
1999,33.333333333333336,0.8771929824561404,1.7543859649122808,1.7543859649122808,4.385964912280702,95.6140350877193,66.66666666666667,100.00000000000001,6.140350877192983,0.0,0.8771929824561404,0.0,0.8771929824561404,21.92982456140351,16.666666666666668,22.80701754385965
2000,29.09090909090909,2.727272727272727,1.8181818181818181,0.9090909090909091,5.454545454545454,94.54545454545453,70.9090909090909,99.99999999999999,5.454545454545454,0.0,0.0,0.0,0.0,22.727272727272727,17.27272727272727,22.727272727272727
2001,31.19266055045871,0.9174311926605504,6.422018348623853,1.8348623853211008,8.256880733944953,91.74311926605503,68.80733944954127,99.99999999999999,6.422018348623853,0.0,1.8348623853211008,0.0,1.8348623853211008,22.01834862385321,17.431192660550458,23.85321100917431
2002,31.249999999999996,3.571428571428571,0.0,0.8928571428571428,4.4642857142857135,95.53571428571428,68.75,99.99999999999999,5.357142857142857,2.6785714285714284,0.0,0.8928571428571428,3.571428571428571,20.535714285714285,18.749999999999996,24.107142857142854
2003,26.548672566371685,0.8849557522123894,0.8849557522123894,5.3097345132743365,7.079646017699115,92.9203539823009,73.45132743362832,100.00000000000001,4.424778761061948,0.0,0.8849557522123894,1.7699115044247788,2.6548672566371683,19.469026548672566,17.69911504424779,22.123893805309738
2004,33.33333333333333,0.9009009009009008,2.7027027027027026,2.7027027027027026,6.306306306306306,93.69369369369369,66.66666666666666,99.99999999999999,7.207207207207206,0.0,0.0,0.0,0.0,22.52252252252252,15.315315315315313,22.52252252252252
2005,30.701754385964914,6.140350877192983,3.5087719298245617,2.6315789473684212,12.280701754385966,87.71929824561404,69.2982456140351,100.00000000000001,7.894736842105264,1.7543859649122808,0.0,0.8771929824561404,2.6315789473684212,20.17543859649123,14.912280701754387,22.80701754385965
2006,33.63636363636363,0.9090909090909091,1.8181818181818181,3.6363636363636362,6.363636363636363,93.63636363636363,66.36363636363636,99.99999999999999,8.181818181818182,0.0,0.9090909090909091,0.9090909090909091,1.8181818181818181,20.909090909090907,14.545454545454545,22.727272727272727
2007,33.04347826086957,6.086956521739131,2.608695652173913,10.434782608695652,19.1304347826087,80.86956521739131,66.95652173913044,100.00000000000001,8.695652173913045,1.7391304347826089,0.8695652173913044,2.608695652173913,5.217391304347826,17.39130434782609,13.913043478260871,22.608695652173914
2008,34.21052631578948,1.7543859649122808,0.8771929824561404,0.8771929824561404,3.5087719298245617,96.49122807017545,65.78947368421053,100.00000000000001,9.649122807017545,0.0,0.0,0.0,0.0,21.92982456140351,12.280701754385966,21.92982456140351
2009,24.107142857142854,2.6785714285714284,3.571428571428571,1.7857142857142856,8.035714285714285,91.96428571428571,75.89285714285714,99.99999999999999,2.6785714285714284,0.8928571428571428,1.7857142857142856,0.0,2.6785714285714284,19.642857142857142,19.642857142857142,22.32142857142857
2010,32.0,7.2,0.8,1.6,9.6,90.4,68.0,100.0,8.0,2.4,0.0,0.8,3.2,19.2,14.4,22.4
2011,33.064516129032256,0.0,2.4193548387096775,0.0,2.4193548387096775,97.58064516129032,66.93548387096774,100.0,5.645161290322581,0.0,0.8064516129032259,0.0,0.8064516129032259,21.774193548387096,16.935483870967744,22.580645161290324
2012,31.147540983606557,4.098360655737705,1.639344262295082,3.278688524590164,8.19672131147541,91.80327868852459,68.85245901639344,100.0,4.918032786885246,2.459016393442623,0.819672131147541,0.0,3.278688524590164,18.852459016393443,17.21311475409836,22.13114754098361
2013,30.952380952380953,2.380952380952381,5.555555555555555,0.7936507936507936,8.73015873015873,91.26984126984127,69.04761904761905,100.0,6.349206349206349,0.0,0.7936507936507936,0.7936507936507936,1.5873015873015872,21.428571428571427,16.666666666666668,23.015873015873016
2014,30.158730158730158,5.555555555555555,4.761904761904762,3.9682539682539684,13.492063492063492,86.5079365079365,69.84126984126983,100.0,8.73015873015873,2.380952380952381,0.7936507936507936,3.1746031746031744,5.555555555555555,16.666666666666668,13.492063492063492,22.22222222222222
2015,32.8,0.8,3.2,2.4,6.4,93.6,67.2,100.0,7.2,0.0,0.8,1.6,2.4,20.0,15.2,22.4
2016,37.096774193548384,1.6129032258064517,3.2258064516129035,2.4193548387096775,7.258064516129032,92.74193548387098,62.903225806451616,100.0,10.483870967741936,0.8064516129032259,0.8064516129032259,1.6129032258064517,3.2258064516129035,18.548387096774192,11.290322580645162,21.774193548387096
2017,34.92063492063492,13.492063492063492,2.380952380952381,1.5873015873015872,17.46031746031746,82.53968253968254,65.07936507936508,100.0,7.142857142857143,3.1746031746031744,0.0,0.0,3.1746031746031744,19.047619047619047,15.079365079365079,22.22222222222222
2018,38.58267716535433,7.874015748031496,3.149606299212598,3.149606299212598,14.173228346456693,85.8267716535433,61.41732283464567,100.0,5.511811023622047,1.574803149606299,0.0,1.574803149606299,3.149606299212598,19.68503937007874,17.322834645669293,22.834645669291337
2019,40.8,9.6,8.0,8.0,24.0,76.0,59.2,100.0,10.4,4.8,3.2,3.2,10.4,12.0,12.0,22.4
2020,43.75,2.34375,4.6875,3.90625,10.9375,89.0625,56.25,100.0,8.59375,0.78125,0.78125,0.78125,2.34375,19.53125,13.28125,21.875
