year_ceremony,female,black,asian,latin_american,non_white,white,total_nominees,male
1989,28.30188679245283,1.8867924528301885,0.9433962264150942,1.8867924528301885,4.716981132075471,95.28301886792453,100.0,71.69811320754717
1990,22.857142857142858,4.761904761904762,0.9523809523809523,0.0,5.714285714285714,94.28571428571428,100.0,77.14285714285714
1991,27.777777777777775,1.8518518518518516,0.0,0.0,1.8518518518518516,98.14814814814814,100.0,72.22222222222221
1992,28.037383177570092,1.8691588785046729,0.9345794392523364,0.9345794392523364,3.7383177570093458,96.26168224299064,100.0,71.96261682242991
1993,32.14285714285714,3.571428571428571,3.571428571428571,0.0,7.142857142857142,92.85714285714285,99.99999999999999,67.85714285714285
1994,38.532110091743114,3.6697247706422016,1.8348623853211008,0.9174311926605504,6.422018348623853,93.57798165137613,99.99999999999999,61.46788990825688
1995,33.92857142857142,3.571428571428571,0.0,0.0,3.571428571428571,96.42857142857142,99.99999999999999,66.07142857142857
1996,25.862068965517242,1.7241379310344829,0.0,1.7241379310344829,3.4482758620689657,96.55172413793105,100.0,74.13793103448276
1997,25.217391304347828,0.8695652173913044,1.7391304347826089,1.7391304347826089,4.347826086956522,95.65217391304348,100.00000000000001,74.78260869565219
1998,26.956521739130437,1.7391304347826089,1.7391304347826089,0.0,3.4782608695652177,96.5217391304348,100.00000000000001,73.04347826086958
1999,33.333333333333336,0.8771929824561404,1.7543859649122808,1.7543859649122808,4.385964912280702,95.6140350877193,100.00000000000001,66.66666666666667
2000,29.09090909090909,2.727272727272727,1.8181818181818181,0.9090909090909091,5.454545454545454,94.54545454545453,99.99999999999999,70.9090909090909
2001,31.19266055045871,0.9174311926605504,6.422018348623853,1.8348623853211008,8.256880733944953,91.74311926605503,99.99999999999999,68.80733944954127
2002,31.249999999999996,3.571428571428571,0.0,0.8928571428571428,4.4642857142857135,95.53571428571428,99.99999999999999,68.75
2003,26.548672566371685,0.8849557522123894,0.8849557522123894,5.3097345132743365,7.079646017699115,92.9203539823009,100.00000000000001,73.45132743362832
2004,33.33333333333333,0.9009009009009008,2.7027027027027026,2.7027027027027026,6.306306306306306,93.69369369369369,99.99999999999999,66.66666666666666
2005,30.701754385964914,6.140350877192983,3.5087719298245617,2.6315789473684212,12.280701754385966,87.71929824561404,100.00000000000001,69.2982456140351
2006,33.63636363636363,0.9090909090909091,1.8181818181818181,3.6363636363636362,6.363636363636363,93.63636363636363,99.99999999999999,66.36363636363636
2007,33.04347826086957,6.086956521739131,2.608695652173913,10.434782608695652,19.1304347826087,80.86956521739131,100.00000000000001,66.95652173913044
2008,34.21052631578948,1.7543859649122808,0.8771929824561404,0.8771929824561404,3.5087719298245617,96.49122807017545,100.00000000000001,65.78947368421053
2009,24.107142857142854,2.6785714285714284,3.571428571428571,1.7857142857142856,8.035714285714285,91.96428571428571,99.99999999999999,75.89285714285714
2010,32.0,7.2,0.8,1.6,9.6,90.4,100.0,68.0
2011,33.064516129032256,0.0,2.4193548387096775,0.0,2.4193548387096775,97.58064516129032,100.0,66.93548387096774
2012,31.147540983606557,4.098360655737705,1.639344262295082,3.278688524590164,8.19672131147541,91.80327868852459,100.0,68.85245901639344
2013,30.952380952380953,2.380952380952381,5.555555555555555,0.7936507936507936,8.73015873015873,91.26984126984127,100.0,69.04761904761905
2014,30.158730158730158,5.555555555555555,4.761904761904762,3.9682539682539684,13.492063492063492,86.5079365079365,100.0,69.84126984126983
2015,32.8,0.8,3.2,2.4,6.4,93.6,100.0,67.2
2016,37.096774193548384,1.6129032258064517,3.2258064516129035,2.4193548387096775,7.258064516129032,92.74193548387098,100.0,62.903225806451616
2017,34.92063492063492,13.492063492063492,2.380952380952381,1.5873015873015872,17.46031746031746,82.53968253968254,100.0,65.07936507936508
2018,38.58267716535433,7.874015748031496,3.149606299212598,3.149606299212598,14.173228346456693,85.8267716535433,100.0,61.41732283464567
2019,40.8,9.6,8.0,8.0,24.0,76.0,100.0,59.2
2020,43.75,2.34375,4.6875,3.90625,10.9375,89.0625,100.0,56.25
